code	meaning
T-98030	THYMIC CORTEX
T-98050	HASSALL'S CORPUSCLE
T-98070	THYMIC LYMPHOCYTES
T-99000	ENDOCRINE PANCREAS
T-99100	ALPHA CELL OF ISLET  (ENDOCRINE PANCREAS)
T-99200	BETA CELL OF ISLET
T-X0000	NERVOUS SYSTEM, NOS
T-X0070	OLFACTORY SYSTEM, NOS
T-X0090	CENTRAL NERVOUS SYSTEM
T-X0100	PERIPHERAL NERVOUS SYSTEM
T-X0210	NEURON, NOS
T-X0310	NEUROPIL
T-X0500	PERIPHRAL NERVE, NOS
T-X0710	VATER-PACINI CORPUSCLE
T-X0810	VIRCHOW-ROBIN SPACE
T-X0900	BRAIN AND SPINAL CORD, CS
T-X0905	BRAIN, SPINAL CORD AND MENINGES, CS
T-X0910	BRAIN AND MENINGES, CS
T-X1000	CEREBROSPINAL FLUID
T-X1110	MENINGES, NOS
T-X1112	CEREBRAL MENINGES, NOS
T-X1115	SPINAL MENINGES, NOS
T-X1120	DURA MATER
T-X1280	EPIDURAL SPACE, NOS
T-X1300	SPINAL EPIDURAL SPACE
T-X1310	LEPTOMENINGES
T-X1320	INTERCRANIAL ARACHNOID
T-X1380	CRANIAL PIA MATER
T-X1400	SUBDURAL SPACE, NOS
T-X1410	CRANIAL SUBDURAL SPACE
T-X1440	SUBDURAL SPACE, PARIETAL REGION
T-X1450	SUBDURAL SPACE, OCCIPITAL REGION
T-X1480	SUBDURAL SPACE, SPINAL REGION
T-X1500	SUBARACHNOID SPACE, NOS
T-X1520	CISTERNA MAGNA
T-X1590	SPINAL SUBARACHNOID SPACE
T-X1600	CEREBRAL VENTRICLE, NOS
T-X1610	EPENDYMA, NOS
T-X1650	LATERAL VENTRICLE, NOS
T-X1660	RIGHT LATERAL VENTRICLE
T-X1670	LEFT LATERAL VENTRICLE
T-X1740	THIRD VENTRICLE, NOS
T-X1800	AQUEDUCT OF SYLVIUS, NOS
T-X1820	FOURTH VENTRICLE, NOS
T-X1900	CHOROID PLEXUS, NOS
T-X2000	BRAIN, NOS
T-X2003	LOBE OF BRAIN, NOS
T-X2020	CEREBRAL CORTEX
T-X2030	CEREBRAL WHITE MATTER
T-X2050	BRAINSTEM
T-X2060	CEREBRAL HEMISPHERE, NOS
T-X2070	RIGHT CEREBRAL HEMISPHERE
T-X2080	LEFT CEREBRAL HEMISPHERE
T-X2200	FRONTAL LOBE, NOS
T-X2210	CORTEX OF FRONTAL LOBE
T-X2260	PRECENTRAL GYRUS
T-X2300	PARIETAL LOBE, NOS
T-X2310	CORTEX OF PARIETAL LOBE
T-X2400	OCCIPITAL LOBE, NOS
T-X2410	CORTEX OF OCCIPITAL LOBE
T-X2500	TEMPORAL LOBE, NOS
T-X2503	TEMPORAL LOBE, RIGHT
T-X2598	TEMPORO-FRONTAL AREA, LEFT
T-X2700	CORPUS CALLOSUM, NOS
T-X2880	OPTIC RADIATION
T-X2910	OLFACTORY BULB
T-X3010	BASAL GANGLIA, NOS
T-X3230	AMYGDALOID NUCLEUS
T-X4010	THALAMUS, NOS
T-X4120	MASSA INTERMEDIA
T-X4600	HYPOTHALAMUS, NOS
T-X4650	PREOPTIC AREA
T-X4670	SUPERIOR PRINCIPAL PREOPTIC NUCLEUS
T-X4680	MEDIAN PREOPTIC NUCLEUS
T-X4750	ARCUATE NUCLEUS, NOS
T-X4811	HYPOTHALAMUS, MEDIAL NUCLEUS
T-X4820	HYPOTHALAMUS, VENTROMEDIAL NUCLEUS
T-X5100	MIDBRAIN, NOS
T-X5400	PONS, NOS
T-X5550	PONS, DEEP TRANSVERSE FIBERS
T-X6000	CEREBELLUM, NOS
T-X6020	CEREBELLAR FOLIUM, NOS
T-X6080	CEREBELLAR WHITE MATTER
T-X6610	CEREBELLAR PEDUNCLE
T-X7000	MEDULLA OBLONGATA, NOS
T-X7410	SPINAL CORD, NOS
T-X7480	SPINAL CORD, POSTERIOR COLUMN, NOS
T-X7560	SPINAL NERVE ROOT, NOS
T-X7600	CERVICAL SPINAL CORD, NOS
T-X7700	THORACIC SPINAL CORD, NOS
T-X7800	LUMBAR SPINAL CORD
T-X7900	CAUDA EQUINA
T-X8000	CRANIAL NERVE, NOS
T-X8020	OLFACTORY NERVE, NOS
T-X8040	OPTIC NERVE, NOS
T-X8050	OPTIC CHIASM
T-X8070	OCULOMOTOR NERVE, NOS
T-X8110	TROCHLEAR NERVE, NOS
T-X8130	ABDUCENS NERVE, NOS
T-X8150	TRIGEMINAL NERVE, NOS
T-X8210	OPHTHALMIC NERVE, NOS
T-X8410	FACIAL NERVE, NOS
T-X8500	ACOUSTIC NERVE, NOS
T-X8510	VESTIBULAR NUCLEUS, NOS
T-X8520	COCHLEAR NUCLEUS, NOS
T-X8570	GLOSSOPHARYNGEAL NERVE, NOS
T-X8640	VAGUS NERVE, NOS
T-X8763	VAGUS NERVE, HEPATIC BRANCH
T-X8780	ACCESSORY NERVE, NOS
T-X8820	HYPOGLOSSAL NERVE, NOS
T-X9000	SPINAL NERVE NOS
T-X9001	NERVE, NOS
T-X9031	CERVICAL NERVE, NOS
T-X9090	BRACHIAL PLEXUS, NOS
T-X9170	ULNAR NERVE, NOS
T-X9180	MEDIAN NERVE, NOS
T-X9190	RADIAL NERVE, NOS
T-X9230	THORACIC NERVE, NOS
T-X9300	LUMBAR NERVE, NOS
T-X9370	OBTURATOR NERVE, NOS
T-X9380	FEMORAL NERVE
T-X9400	SACRAL NERVE, NOS
T-X9440	SCIATIC NERVE
T-X9450	TIBIAL NERVE, NOS
T-X9551	HEMORRHOIDAL NERVE
T-X9600	AUTONOMIC NERVOUS SYSTEM, NOS
T-X9620	SYMPATHETIC NERVOUS SYSTEM, NOS
T-X9740	INFERIOR CERVICAL GANGLION
T-X9810	CELIAC GANGLION
T-X9900	PARASYMPATHETIC NERVOUS SYSTEM, NOS
T-XX000	EYE, NOS
T-XX006	PERIORBITAL TISSUE
T-XX010	RIGHT EYE
T-XX020	LEFT EYE
T-XX050	EYE, ANTERIOR CHAMBER
T-XX060	AQUEOUS HUMOR
T-XX070	EYE, POSTERIOR CHAMBER
T-XX080	VITREOUS BODY
T-XX087	VITREOUS HUMOR
T-XX088	VITREOUS AND RETINA, NOS
T-XX110	SCLERA, NOS
T-XX180	BOTH EYES
T-XX200	CORNEA, NOS
T-XX310	CHOROID, NOS
T-XX360	CHOROID AND RETINA, NOS
T-XX370	BLOOD VESSEL OF RETINA, NOS
T-XX400	CILIARY BODY, NOS
T-XX500	IRIS, NOS
T-XX530	PUPIL
T-XX560	IRIS AND CILIARY BODY, NOS
T-XX570	UVEAL TRACT
T-XX610	RETINA, NOS
T-XX630	OPTIC DISC
T-XX631	OPTIC NERVE, COLLICULUS
T-XX640	RETINA, PIGMENT EPITHELIUM
T-XX700	CRYSTALLINE LENS
T-XX703	FIBERS OF LENS
T-XX770	EYEBALL, INTERNAL STRUCTURES, NOS
T-XX810	EYELID, NOS
T-XX811	PALPEBRAL FISSURE
T-XX812	CANTHUS, NOS
T-XX813	LATERAL CANTHUS
T-XX814	MEDIAL CANTHUS
T-XX820	UPPER EYELID, NOS
T-XX821	RIGHT UPPER EYELID
T-XX822	LEFT UPPER EYELID
T-XX830	LOWER EYELID, NOS
T-XX850	TARSAL GLAND
T-XX860	CONJUNCTIVA, NOS
T-XX870	PALPEBRAL CONJUNCTIVA
T-XX880	BULBAR CONJUNCTIVA
T-XX890	CONJUNCTIVA AND CORNEA, NOS
T-XX910	LACRIMAL GLAND, NOS
T-XX970	TEARS
T-XY000	EAR, NOS
T-XY010	RIGHT EAR, NOS
T-XY020	LEFT EAR, NOS
T-XY080	BOTH EARS
T-XY100	EXTERNAL EAR, NOS
T-XY170	AURICULAR CARTILAGE
T-XY200	EXTERNAL AUDITORY CANAL, NOS
T-XY240	CERUMINAL GLAND
T-XY300	MIDDLE EAR, NOS
T-XY600	EUSTACHIAN TUBE, NOS
T-XY700	INNER EAR, NOS
T-XY883	MACULA CRIBOSA INFERIOR
T-Y0000	HEAD AND NECK, NOS
T-Y0100	HEAD
T-Y0110	FOREHEAD, NOS
T-Y0130	PARIETAL REGION
T-Y0160	SCALP, NOS
T-Y0200	FACE, NOS
T-Y0207	ZYGOMATIC REGION OF FACE
T-Y0210	CHIN
T-Y0213	JAW
T-Y0300	CHEEK, NOS
T-Y0312	RIMA ORIS
T-Y0316	TIP OF NOSE
T-Y0400	CRANIAL CAVITY, NOS
T-Y0460	PITUITARY FOSSA
T-Y0480	ORBITAL REGION
T-Y0490	PERIORBITAL REGION
T-Y0495	RETROBULBAR AREA
T-Y0600	NECK
T-Y0620	SUPRACLAVICULAR REGION OF NECK
T-Y1000	TRUNK, NOS
T-Y1001	LATERAL REGION OF TRUNK
T-Y1002	ANTERIOR MIDLINE OF TRUNK
T-Y1003	POSTERIOR MIDLINE OF TRUNK
T-Y1010	UPPER TRUNK
T-Y1020	LOWER TRUNK
T-Y1021	TRUNK, RIGHT SIDE
T-Y1022	TRUNK, LEFT SIDE
T-Y1100	BACK, NOS
T-Y1110	UPPER BACK
T-Y1120	LOWER BACK
T-Y1130	THORACOLUMBAR REGION OF BACK
T-Y1220	SHOULDER, NOS
T-Y1231	MAMMARY REGION, NOS
T-Y1300	LUMBAR REGION
T-Y1310	FLANK, NOS
T-Y1410	SACRAL REGION
T-Y1420	COCCYGEAL REGION
T-Y1500	HIP, NOS
T-Y1605	ISCHIAL CALLOSITY
T-Y1700	PERINEUM, NOS
T-Y1705	ANOGENITAL REGION
T-Y1800	EXTREMITY, NOS
T-Y2000	THORAX, MEDIASTINUM, AND DIAPHRAGM, NOS
T-Y2100	THORAX, NOS
T-Y2110	RIGHT THORAX
T-Y2150	CHEST WALL, NOS
T-Y2200	THORACIC CAVITY, NOS
T-Y2210	RIGHT THORACIC CAVITY
T-Y2220	LEFT THORACIC CAVITY
T-Y2300	MEDIASTINUM, NOS
T-Y2310	SUPERIOR MEDIASTINUM
T-Y2400	DIAPHRAGM, NOS
T-Y2420	HIATUS ESOPHAGUS OF DIAPHRAGM
T-Y3000	THORACIC VISCERA, NOS
T-Y4000	ABDOMEN, PERITONEUM AND RETROPERITONEUM, NOS
T-Y4100	ABDOMEN, NOS
T-Y4102	ANTERIOR MIDLINE OF ABDOMEN
T-Y4110	RIGHT UPPER QUADRANT OF ABDOMEN
T-Y4120	RIGHT LOWER QUADRANT OF ABDOMEN
T-Y4130	LEFT UPPER QUADRANT OF ABDOMEN
T-Y4140	LEFT LOWER QUADRANT OF ABDOMEN
T-Y4200	EPIGASTRIC REGION
T-Y4220	UMBILICUS
T-Y4230	UMBILICAL REGION
T-Y4240	HYPOGASTRIC REGION
T-Y4241	PUBIC REGION
T-Y4300	ABDOMINAL WALL, NOS
T-Y4310	ANTERIOR ABDOMINAL WALL
T-Y4320	POSTERIOR ABDOMINAL WALL
T-Y4330	LINEA ALBA ABDOMINIS
T-Y4400	PERITONEUM, NOS
T-Y4410	PERITONEAL MESOTHELIUM
T-Y4420	PARIETAL PERITONEUM
T-Y4430	VISCERAL PERITONEUM
T-Y4440	PELVIC PERITONEUM
T-Y4500	PERITONEAL CAVITY, NOS
T-Y4510	PELVIC PERITONEAL CAVITY
T-Y4520	SUBPHRENIC FOSSA
T-Y4540	OMENTAL BURSA
T-Y4551	SUPERIOR DUODENAL RECESS
T-Y4580	VESICOUTERINE POUCH
T-Y4590	POUCH OF DOUGLAS (RECTOUTERINE POUCH)
T-Y4600	RETROPERITONEUM
T-Y5000	ABDOMINAL VISCERA, NOS
T-Y6000	PELVIS, NOS
T-Y6221	PELVIC CAVITY
T-Y6600	TAIL
T-Y7000	INGUINAL REGION
T-Y7010	RIGHT INGUINAL REGION
T-Y7020	LEFT INGUINAL REGION
T-Y7040	INGUINAL CANAL
T-Y8000	UPPER EXTREMITY, NOS
T-Y8010	RIGHT UPPER EXTREMITY
T-Y8020	LEFT UPPER EXTREMITY
T-Y8080	BOTH UPPER EXTREMITIES
T-Y8100	AXILLA, NOS
T-Y8200	UPPER ARM, NOS
T-Y8205	ARM, MEDIAL SURFACE
T-Y8210	RIGHT UPPER ARM
T-Y8220	LEFT UPPER ARM
T-Y8300	ELBOW, NOS
T-Y8320	LT. ELBOW
T-Y8500	FOREARM, NOS
T-Y8600	WRIST, NOS
T-Y8610	RIGHT WRIST
T-Y8620	LEFT WRIST
T-Y8700	HAND
T-Y8710	RIGHT HAND
T-Y8720	LEFT HAND
T-Y8730	DORSUM OF HAND
T-Y8800	FINGER, NOS
T-Y8810	THUMB
T-Y8820	INDEX FINGER, NOS
T-Y8890	ALL FINGERS
T-Y9000	LOWER EXTREMITY, NOS
T-Y9010	RIGHT LOWER EXTREMITY, NOS
T-Y9020	LEFT LOWER EXTREMITY, NOS
T-Y9050	RIGHT FEMORAL REGION
T-Y9060	LEFT FEMORAL REGION
T-Y9100	THIGH, NOS
T-Y9110	RIGHT THIGH
T-Y9120	LEFT THIGH
T-Y9200	KNEE, NOS
T-Y9210	RIGHT KNEE
T-Y9220	LEFT KNEE
T-Y9280	BOTH KNEES
T-Y9300	POPLITEAL REGION
T-Y9400	LEG
T-Y9410	RIGHT LEG
T-Y9420	LEFT LEG
T-Y9440	CALF OF LEG
T-Y9480	BOTH LEGS
T-Y9500	ANKLE, NOS
T-Y9510	RIGHT ANKLE
T-Y9600	HEEL
T-Y9700	FOOT, NOS
T-Y9710	RIGHT FOOT
T-Y9720	LEFT FOOT
T-Y9730	DORSUM OF FOOT
T-Y9740	SOLE OF FOOT
T-Y9780	BOTH FEET
T-Y9800	TOE
T-Y9830	THIRD TOE, NOS
T-Y9840	FOURTH, TOE, NOS
T-Y9860	INTERDIGITAL SPACE OF FOOT
T-Y9870	ACCESSORY DIGIT OF FOOT, NOS
T-Y9890	ALL TOES
T-YY034	INTERPLACENTAL VESSEL
T-YY035	PLACENTAL ARTERY
T-YY037	PLACENTAL VEIN
T-YY038	PERIVASCULATURE
T-YY481	RENAL VEIN, LEFT
T-YY482	RENAL VEIN, RIGHT
T-YY491	RIGHT FEMORAL VEIN
T-YY492	LEFT FEMORAL VEIN
T-YY493	UTERO-OVARIAN VEIN, LEFT
T-YY494	INTERNAL JUGULAR VEIN, LEFT
T-YY495	INTERNAL JUGULAR VEIN, RIGHT
T-YY496	EXTERNAL JUGULAR VEIN, LEFT
T-YY497	EXTERNAL JUGULAR VEIN, RIGHT
T-YY498	LIENAL VEIN
T-YY499	LIENAL ARTERY
T-YY500	LEFT UTERO-OVARIAN VEIN
T-YY501	LEFT UTERO-OVARIAN ARTERY
T-YY502	RIGHT UTERO-OVARIAN VEIN
T-YY503	RIGHT UTERO-OVARIAN ARTERY
T-YY840	ENDOMETRIAL TRANSPLANT
T-YY862	FIMBRIA TRANSPLANT
T-YY870	OVARIAN TRANSPLANT
F-95700	PSYCHOSOMATIC FACTOR IN PHYSICAL CONDITION NOS
E-56160	POLYETHYLENE GLYCOL ALKYL
E-XO620	DIET,PROTEIN,SUPPLEMENTARY FEEDINGS
E-YY123	MERITENE
E-YY124	GOLYTELY (INTESTINAL LAVAGE FLUID)
D-30001	REACTIVE ARTHRITIS
E-82552	ALOE VERA WITH XENYSALATE (SECOND OPINION)
E-75471	ATROPINE OPHTHALMIC DROPS (ATROPINE DROPS)
E-75472	ATROPINE OPHTHALMIC OINTMENT
E-77911	BUTORPHANOL
E-72001	BVP 2674 / BAYTRIL / ENROFLOXACIN
E-72002	BVP ORAL
E-76031	CLAFORAN
E-85151	DEXAMETHASONE SODIUM PHOSPHATE (AZIUM SP)
E-84371	DEXTROSE, 5 % INJECTION IN WATER (5% DEX)
E-82661	DOCUSATE SODIUM (COLACE)
E-84780	FERROUS FUMARATE (FERANCEE)
E-YY125	FLAGENASE 400
E-86141	GONADOTROPIN RELEASING HORMONE A  (GNRHA)
E-86142	GONADOTROPIN RELEASING HORMONE B  (GNRHB)
E-79190	HALOPERIDOL  (HALDOL)
E-YY127	KAOPECTATE
E-82301	LOPERAMIDE  (IMODIUM)
E-YY128	METACLOPROMIDE (METACLO)
E-YY129	METAPROTERENOL SULFATE (ALUPENT)
E-73011	NYSTATIN ORAL (NO)
E-YY130	PALOSEIN  (PAL)
E-87602	POLYVISOL  (POLYSOL)
E-YY131	PROBIACIN   (PRO-B)
E-74681	PSEUDOEPHEDRINE SULFATE (SUDAFED)
E-77510	TYLENOL, INFANT ORAL  (INF TYL)
E-87500	VITAMIN C INJ
P-YY114	PRESUMPTIVE DIAGNOSIS
T-02530	SKIN OF PENIS, NOS
T-02155	SKIN OF CHIN
E-84350	GELATIN
M-89320	ADENOMYOMA
M-97311	PLASMACYTOMA, NOS
D-55700	CHROMOSOMAL IMBALANCE SYNDROME, PAIR 7, NOS
M-01380	CONSOLIDATION
T-11550	METACARPAL BONE - 1
T-11560	METACARPAL BONE - 2
T-11570	METACARPAL BONE - 3
T-11580	METACARPAL BONE - 4
T-11590	METACARPAL BONE - 5
T-10660	SIXTH THORACIC VERTEBRA
T-18427	PATELLAR LIGAMENT
P-12X50	INJECTION, INTRAPERITONEAL
M-31070	DISPLACEMENT, LATERAL
D-05250	HEPATITIS DISEASE OR SYNDROME, NOS
D-75050	UPPER RESPIRATORY INFECTION, NOS
T-11660	PHALANX OF LITTLE FINGER
T-11920	PHALANX OF GREAT TOE
T-11930	PHALANX OF SECOND TOE
T-11940	PHALANX OF THIRD TOE
T-11950	PHALANX OF FOURTH TOE
T-12592	INTERPHALANGEAL JOINT OF THUMB
T-12594	INTERPHALANGEAL JOINT OF INDEX FINGER
T-12596	INTERPHALANGEAL JOINT OF MIDDLE FINGER
T-12598	INTERPHALANGEAL JOINT OF RING FINGER
T-1259X	INTERPHALANGEAL JOINT OF LITTLE FINGER
T-12872	INTERPHALANGEAL JOINT OF GREAT TOE
T-12874	INTERPHALANGEAL JOINT OF SECOND TOE
T-12876	INTERPHALANGEAL JOINT OF THIRD TOE
T-12878	INTERPHALANGEAL JOINT OF FOURTH TOE
T-1287X	INTERPHALANGEAL JOINT OF FIFTH TOE
T-10351	FIRST RIB
T-10352	SECOND RIB
T-10353	THIRD RIB
T-10354	FOURTH RIB
T-10355	FIFTH RIB
T-10356	SIXTH RIB
T-10357	SEVENTH RIB
T-10400	COSTAL CARTILAGE
T-12350	LUMBOSACRAL JOINT
D-60040	FOOD ALLERGY, NOS
T-02680	SKIN OF THUMB, NOS
T-10184	RAMUS OF MANDIBLE
T-10750	FIRST LUMBAR VERTEBRA
T-10760	SECOND LUMBAR VERTEBRA
T-11500	BONE OF HAND, NOS
T-11619	PHALANX OF FINGER, NOS
T-12311	ATLANTOCCIPITAL JOINT
T-12317	ATLANTOAXIAL JOINT, NOS
T-18422	CRUCIATE LIGAMENTS OF KNEE JOINT, NOS
T-51300	BUCCAL MUCOSA
T-82920	UTERUS AND CERVIX, FALLOPIAN TUBES AND OVARIES, CS
T-89880	RATHKE'S POUCH, FETAL
T-X0280	AXON
T-X1200	INFERIOR SAGITTAL SINUS
T-X2900	RHINENCEPHALON
T-Y1200	SCAPULAR REGION OF BACK
M-28780	EPIGNATHUS
M-32600	VARIX, NOS
M-39820	PERFORATION, FOREIGN BODY
M-54680	GANGRENE, SYMMETRIC
M-82013	CRIBRIFORM CARCINOMA
E-18340	HAEMOPHILUS PARAINFLUENZAE
E-41100	CLADOSPORIUM, NOS
E-86400	SERUM, VACCINE OR TOXIN, NOS
E-X0620	DIET, PROTEIN SUPPLEMENTARY FEEDINGS
F-04570	SPECIFIC GRAVITY, NOS
F-11380	CREATINE
F-35680	TWINS, DIAMNIOTIC-MONOCHORIONIC
F-44020	GRAFT ACCEPTANCE
F-X2060	DISJUNCTIVE EYE MOVEMENT, NOS
D-44100	HYPERCOAGULABILITY DISEASE, NOS
D-63100	DISEASE OF OMENTUM, NOS
D-88760	ACUTE HEMORRHAGIC LEUKOENCEPHALITIS
P-01500	PATIENT REFERRAL, NOS
P-04800	TREATMENT RESPONSE DETERMINATION, NOS
P-10620	TRANSECTION AND REPOSITIONING
P-18730	APPLICATION OF CAST, SHORT LEG, WALKING OR AMBULATORY TYPE
P-18950	REPAIR OF CAST, NOS
P-63230	OSSEOUS GRAFT, SINGLE SITE
P-62200	PULPOTOMY PRIMARY
T-11101	SKULL CAP
T-11850	FIRST METATARSAL BONE, NOS
E-YY133	CEFOTETAN
T-03830	SUBCUTANEOUS TISSUE OF LEG, NOS
D-YY004	METACERCARIASIS
F-44000	 GRAFT, NOS
P-YY116	CANINE BLUNTING
P-YY117	CANINE CUTTING
P-63260	SKIN GRAFT, NOS
E-YY134	GNRH ANTAGONIST (HORMONE)
E-YY135	LEVONORGESTREL (HORMONE)
E-YY136	RELAXIN (HORMONE)
E-YY137	PLACEBO
E-YY138	NORPRAMIN (ANTI-DEPRESSANT)
P-12X30	INJECTION, SUBCUTANEOUS
F-YY007	HUMAN MENOPAUSAL GONADOTROPIN (HMG)
E-YY140	SRIF ANTAGONIST
P-YY118	OROGASTRIC INTUBATION (OGT)
E-YY142	HUMAN IMMUNODEFICIENCY VIRUS (HIV) PROTEINS
E-YY141	METASYSTOX-R
F-35700	NEWBORN INFANT, MOTHER DIABETIC
E-YY143	PROCHOLERAGENOID (CHOLERA TOXOID)
E-75330	PILOCARPINE (TOPICAL OPTHALMIC SOLUTION)
P-14150	IMBRICATION
P-YY119	CONCENTRATION, NOS
D-YY005	HYPOTRICHOSIS, NOS
M-YY010	CRYPT, NOS
M-YY009	ORTHOKERATOSIS
E-YY145	ESTER OF TESTOSTERONE
E-YY144	NEOMYCIN - RESISTANT GENE
T-39900	AORTIC AND MITRAL VALVES, CS
E-YY146	NON-STEROIDAL ANTI-INFLAMMATORY
T-28014	ALVEOLAR DUCT
M-09000	INSUFFICIENT TISSUE FOR DIAGNOSIS
M-69510	PHAGOCYTIC CELL
E-YY147	ZINC 65 (RADIOACTIVE ISOTOPE)
E-YY148	CALCIUM 47 (RADIOACTIVE ISOTOPE)
E-YY149	GN1185 (AIDS ANTIMICROBIC)
E-YY150	ALCOHOL OXIDASE ENZYME
E-YY151	ANAGYRINE
E-YY152	CIPROFLOXACIN (ANTIBIOTIC)
E-YY153	DMO (DIMETHYLOXOZOLIDINE; ANTI-CONVULSANT)
E-YY154	SALINE
E-YY155	NORFLOXACIN (ANTIBIOTIC)
E-YY156	EPOSTANE (HORMONE)
E-YY157	ALBUMINAR-25
E-YY158	ERYTHROPOIETIN (HUMORAL REGULATOR OF ERYTHROPOIESIS)
E-YY159	RO23-6726 (PROGESTIN)
E-YY160	RO23-6240/000 (ANTIBIOTIC)
E-YY161	RO15-80751012 (ANTIBIOTIC)
E-YY162	SESAME OIL (CONTROL)
E-80760	CARBOXYMETHYLCELLULOSE SODIUM
E-48630	HEAD LOUSE
F-YY008	RECUMBENT
T-04300	MAMMARY DUCT
F-12200	PROTEIN, NOS
F-04320	REDUCTION
E-YY163	ZINC CONTROL DIET
E-YY164	2 PPM LOW ZINC EXPERIMENTAL DIET
E-YY165	ZN-65 (RADIOACTIVE ISOTOPE)
P-80400	ELECTROMYOGRAM
F-YY009	HYPOALBUMINEMIA
F-53280	FIBRIN DEGRADATION PRODUCT (FDP)
E-YY166	THREONYL-MDP (ADJUVANT)
E-YY167	RECOMBINANT ZONA PROTEIN
E-YY168	PORCINE ZONA PELLUCIDA
E-YY169	MURAMYL DIPEPTIDE (ADJUVANT)
E-YY170	CHOLERA TOXOID IMMUNIZATION
E-YY171	PROHIBIT HAEMOPHILUS B CONJUGATE VACCINE
T-Y8780	BOTH HANDS
T-18970	PELVIC FASCIA, NOS
M-09300	MORPHOLOGIC DIAGNOSIS DEFERRED
M-76630	VERRUCA VULGARIS (INFECTIOUS WART)
T-X7100	RHOMBOID FOSSA
E-70500	GENERAL ANESTHETIC, NOS
D-25180	LOW BIRTH WEIGHT SYNDROME
P-YY120	LIPOSUCTION
D-07640	TRYPANOSOMIASIS, AMERICAN CHAGAS' DISEASE
E-98410	SMOKE
F-75160	INHALATION
M-11103	BURN 3RD DEGREE
T-67015	COLONIC EPITHELIUM
P-X0600	DIAGNOSTIC RADIOGRAPHY WITH CONTRAST MEDIA, NOS
M-03003	MASS, LOCALIZED, SOFT
T-Y8310	RIGHT ELBOW
T-12770	TARSAL JOINT
F-61550	AEROPHAGIA
T-11610	PHALANX OF HAND, NOS
J-YY118	BROMODICHLOROMETHANE (BDCM) IN 10% ETHXYOLATED CASTOR OIL
J-YY119	CONTROL CORN OIL
J-YY120	CONTROL COTTONSEED OIL
J-27110	GONADOTROPIN, NOS
E-19832	MORAXELLA CATARRHALIS
J-TRIMO	TRIMODAL,  TRIPLE THERAPY
J-YYHIV	INACTIVATED HIV IN PBS AND RIBI
J-04110	INFLUENZA (FLU) VIRUS, NOS
P-Y0001	ADMINISTRATION OF DRUG OR SUBSTANCE, INTRATRACHEAL
J-YGNF1	ANTIVIRAL "GNF-3009"
J-NAXCL	CEFTIOFUR (NAXCEL)
J-CDC01	MEASLES VIRUS MEV-CEF
J-WYE19	WYETH VACCINIA
J-FLU06	INFLUENZA (A/MEMPHIS/7/2001)
J-F06LU	INFLUENZA
J-CD01C	MEASLES VIRUS
J-TAFLU	TAMIFLU
J-CPG10	IMMUNE STIMULATOR,  CPG 10101
J-YAN10	ANTI PLATELET AGENT
J-72550	DOXYCYLINE, NOS
J-SUPOT	SUPPLEMENTS OTHER
J-LPENY	L-PHENYLALANIE
F-YYSID	 (SID) SINGLE DOSE DAILY
F-YYBID	(BID) TWICE A DAY DOSING
F-YYTID	(TID) THREE TIMES A DAY DOSING
J-MVC12	MEASLES VIRUS MC-C12
J-CTADD	CTA1-DD (ADJUVANT)
J-HPYLO	H. PYLORI
J-YLICL	LITHIUM CHLORIDE
J-YHDMA	HDMA
J-INRIX	INFANRIX
J-YYISS	DEFICIENT ADENOVIVUS
J-OST57	OST577-IGG 2M3
J-HKLIS	HEAT KILLED LISTERIA
J-F18V1	F18 LINEAR V1A
J-MNVAC	MENINGITIS VACCINE, NOS
J-YLHRH	LHRH
J-NONPH	NONYLPHENOL
J-ESTCY	ESTRADIOL CYPIONATE
J-YYBDA	BDA (NEUROTRACER)
J-D4888	D4888 (NEUROTRACER)
J-77710	CHILDRENS CHEWABLE ASPIRIN
J-YYRBA	RICE CEREAL, BANANA AND APPLE
T-Y1051	ALTERNATING LIMBS
J-YDEPO	DEPO PROVERA, NOS
J-BEANO	BEANO DROPS
J-PLYIC	POLY IC
J-A1590	ACYLINE, NOS
E-YY277	GELFOAM
P-YY976	ELECTROPHYSIOLOGICALLY  MAPPED
J-YYNTI	NEURO TRACER INJECTION
P-YY155	CONTACT LENS
P-YY156	DENTAL ACRYLIC
P-YY444	CRANIOTOMY
T-2Y985	SKULL BONE FLAP
J-YY121	IBOTENIC ACID
T-X3231	AMYGDALA
F-YY032	BILATERAL
J-YYMII	PIG ISLET CELLS, NOS
M-36670	PNEUMOTHORAX
T-10562	SPINOUS PROCESS OF THE FIFTH CERVICAL VERTEBRA
T-10572	SPINOUS PROCESS OF THE SIXTH CERVICAL VERTEBRA
T-13741	FLEXOR DIGITARUS PROFUNDUS
T-13742	EXTENSOR DIGITARUS COMMUNIS
T-13743	FLEXOR POLLICIA
T-13744	TIBIALUS ANTERIOR
T-13745	SOLEUS
M-12121	FRACTURE, CLOSED, OBLIQUE
M-1PULP	PULP OF TOOTH,EXPOSED
M-X1111	TOOTH DECAY,NON-VIABLE
M-X1112	TOOTH DECAY
E-YYDNS	DILUTE NOLVASAN
T-54240	MAXILLARY RIGHT SECOND PREMOLAR
T-54984	MAXILLARY RIGHT LATERAL INCISOR
T-54994	MAXILLARY LEFT LATERAL INCISOR
T-54981	MANDIBULAR LEFT 2 ND PREMOLAR TOOTH
T-54881	MADIBULAR RIGHT LATERAL INCISOR TOOTH
